State,Year,Population.12-17,Population.18-25,Population.26+,Totals.Alcohol.Use Disorder Past Year.12-17,Totals.Alcohol.Use Disorder Past Year.18-25,Totals.Alcohol.Use Disorder Past Year.26+,Totals.Illicit Drugs.Cocaine Used Past Year.12-17,Totals.Illicit Drugs.Cocaine Used Past Year.18-25,Totals.Illicit Drugs.Cocaine Used Past Year.26+,Totals.Marijuana.New Users.12-17,Totals.Marijuana.New Users.18-25,Totals.Marijuana.New Users.26+,Totals.Marijuana.Used Past Year.12-17,Totals.Marijuana.Used Past Year.18-25,Totals.Marijuana.Used Past Year.26+,addiction_population
Alabama,2002,380805,499453,2812905,18,68,138,6,27,49,20,18,2,49,119,141,655
Alaska,2002,69400,62791,368460,4,12,27,2,5,5,4,2,0,13,24,46,144
Arizona,2002,485521,602265,3329482,36,117,258,16,51,86,25,18,3,82,166,215,1073
Arkansas,2002,232986,302029,1687337,14,53,101,4,18,26,13,10,1,37,87,104,468
California,2002,3140739,3919577,21392421,173,581,1298,53,259,410,158,126,17,443,1109,1670,6297
Colorado,2002,385648,493921,2798960,26,102,211,10,51,83,23,16,3,75,181,300,1081
Connecticut,2002,295157,323120,2235763,16,61,120,5,23,33,20,11,2,52,125,158,626
Delaware,2002,66477,88388,514059,4,16,31,1,7,11,4,3,0,12,29,36,154
District of Columbia,2002,33192,73655,372907,1,12,31,0,3,14,2,3,0,5,28,40,139
Florida,2002,1346297,1576278,11066322,73,266,620,26,108,220,77,52,8,217,470,900,3037
Georgia,2002,748467,945489,5202846,36,141,331,13,50,108,40,26,4,106,226,331,1412
Hawaii,2002,103803,122789,761280,7,22,45,2,7,9,6,5,0,19,37,59,218
Idaho,2002,128028,164566,794611,10,30,52,2,8,7,7,5,1,19,40,42,223
Illinois,2002,1082396,1380990,7825956,66,269,564,18,90,143,58,46,5,156,409,462,2286
Indiana,2002,541577,704733,3788500,34,135,230,11,51,68,25,24,4,76,200,245,1103
Iowa,2002,246347,351217,1847207,19,69,114,5,23,27,12,14,1,33,91,104,512
Kansas,2002,241178,319425,1645149,12,59,86,4,20,24,11,12,1,32,81,87,429
Kentucky,2002,327727,454574,2605898,17,67,125,7,30,50,19,13,2,53,119,177,679
Louisiana,2002,406965,537725,2668243,24,94,169,7,29,65,20,21,2,53,148,154,786
Maine,2002,108861,130511,869560,6,24,51,2,11,13,8,5,1,20,49,68,258
Maryland,2002,476696,536352,3466746,26,86,226,7,26,59,28,19,3,70,163,237,950
Massachusetts,2002,508325,672543,4201348,37,124,301,10,53,90,31,22,3,102,257,472,1502
Michigan,2002,895753,1091376,6298792,57,200,444,19,68,128,51,39,4,153,353,539,2055
Minnesota,2002,446545,572795,3154577,32,120,223,10,43,52,26,19,3,77,174,225,1004
Mississippi,2002,257508,347410,1704672,10,48,91,3,15,30,11,11,1,28,77,80,405
Missouri,2002,491394,628542,3550250,31,124,213,10,45,80,30,21,3,79,198,280,1114
Montana,2002,81697,103338,578710,9,24,48,2,8,9,6,4,0,17,36,52,215
Nebraska,2002,152465,204600,1058402,14,51,79,3,12,15,9,7,1,25,56,67,339
Nevada,2002,184670,215631,1379759,13,35,95,4,16,23,12,6,1,36,63,115,419
New Hampshire,2002,113457,129505,830689,9,30,59,3,13,16,8,5,1,23,58,94,319
New Jersey,2002,719658,791085,5586200,37,131,278,13,51,95,43,25,4,101,233,279,1290
New Mexico,2002,176611,210636,1122984,14,48,90,5,21,20,11,8,1,34,71,81,404
New York,2002,1562426,2036478,12316861,87,323,727,22,141,248,93,81,8,250,684,1010,3674
North Carolina,2002,685632,875677,5204654,39,145,273,13,56,95,46,30,4,116,234,315,1366
North Dakota,2002,54387,82312,389658,6,22,29,1,5,4,3,3,0,9,24,19,125
Ohio,2002,987986,1231294,7182193,57,228,457,17,86,135,56,42,4,151,374,500,2107
Oklahoma,2002,302673,411137,2120890,17,70,109,6,25,27,17,14,1,46,105,119,556
Oregon,2002,297076,385140,2261755,17,69,131,6,28,39,17,12,2,52,140,214,727
Pennsylvania,2002,1028108,1290045,8009346,55,233,427,15,85,144,60,47,5,157,386,477,2091
Rhode Island,2002,85295,126228,688500,6,32,53,2,15,17,5,4,1,16,58,64,273
South Carolina,2002,345629,458404,2574050,17,89,160,6,29,54,20,18,2,46,127,153,721
South Dakota,2002,69742,90990,459901,7,24,36,2,5,5,5,4,0,12,26,23,149
Tennessee,2002,473558,621828,3699537,23,92,171,9,38,66,22,20,2,58,131,164,796
Texas,2002,2018953,2512206,12788834,118,422,780,52,167,203,114,77,14,281,560,641,3429
Utah,2002,229447,360378,1222045,11,47,67,3,17,15,10,12,1,25,75,48,331
Vermont,2002,53924,69851,403822,3,13,24,2,7,7,4,2,0,12,31,41,146
Virginia,2002,607438,739131,4560096,38,130,265,10,41,81,38,27,3,94,219,259,1205
Washington,2002,528622,653701,3825493,31,119,224,9,47,49,31,19,3,93,236,346,1207
West Virginia,2002,139163,194555,1197550,9,31,60,4,14,17,9,6,1,24,54,63,292
Wisconsin,2002,482686,620505,3425585,35,145,253,10,41,61,30,23,2,76,186,192,1054
Wyoming,2002,45377,59114,310110,3,14,21,1,4,4,3,2,0,7,17,20,96
Alabama,2003,381563,503783,2834977,18,68,135,6,28,46,19,16,2,51,127,156,672
Alaska,2003,68492,69578,370098,4,11,23,1,6,5,4,2,0,13,25,43,137
Arizona,2003,498693,621802,3424675,37,120,276,14,54,83,27,17,3,83,163,233,1110
Arkansas,2003,233184,306999,1703727,13,49,86,4,17,23,12,10,1,34,91,103,443
California,2003,3209345,3949889,21686129,204,655,1336,52,267,417,169,139,13,469,1099,1625,6445
Colorado,2003,388793,501011,2828830,26,102,220,8,45,75,24,16,2,71,156,269,1014
Connecticut,2003,295229,336200,2259754,19,69,139,5,27,32,21,12,2,55,132,174,687
Delaware,2003,67658,90513,522123,3,16,29,1,7,10,4,3,0,10,29,34,146
District of Columbia,2003,33384,70483,367787,1,11,33,0,3,11,2,3,0,4,22,39,129
Florida,2003,1376459,1658368,11277251,77,274,662,22,120,217,71,49,9,196,482,833,3012
Georgia,2003,763519,967105,5276693,32,122,275,11,43,102,37,27,5,101,222,360,1337
Hawaii,2003,100549,121734,791438,7,22,46,1,7,10,5,5,0,17,36,57,213
Idaho,2003,127839,168848,815805,9,28,52,2,8,9,7,5,1,18,39,45,223
Illinois,2003,1089901,1400520,7863343,66,290,563,16,87,150,59,45,5,150,393,541,2365
Indiana,2003,546518,711380,3816240,31,128,223,10,48,64,27,23,4,74,204,249,1085
Iowa,2003,243608,354296,1860596,18,83,131,4,22,28,12,14,1,30,96,105,544
Kansas,2003,237856,324390,1655732,17,67,97,4,20,22,13,12,1,33,78,93,457
Kentucky,2003,336908,453011,2611452,18,64,137,6,30,48,20,12,2,54,111,195,697
Louisiana,2003,403315,543941,2685275,24,86,176,6,31,53,21,18,2,50,128,146,741
Maine,2003,109954,134241,875886,7,24,54,2,13,14,6,5,1,20,49,70,265
